Scenario,CO2 from Battery Manufacturing (gCO2eq),CO2 from Battery Discharge (gCO2eq),Total Yearly Operational CO2 (gCO2eq)
NoPV,0,0.00,547716216.24
PV_NoBattery,0,0.00,418080291.58
5kWh,27250,4529141.59,384406892.11
8kWh,43600,6811474.04,367440493.09
12kWh,65400,9544477.39,347123898.55
15kWh,81750,11250015.87,334446116.76
20kWh,109000,13506559.46,317674787.87
26kWh,141700,15438952.03,303314185.53
50kWh,272500,19160603.89,275732491.22
