,"SolphLabel(location='House1', mtress_component='ElectricityCarrier', solph_node='distribution')","SolphLabel(location='House1', mtress_component='ElectricityCarrier', solph_node='distribution')","SolphLabel(location='House1', mtress_component='ElectricityCarrier', solph_node='feed_in')","SolphLabel(location='House1', mtress_component='ElectricityGridConnection', solph_node='grid_export')","SolphLabel(location='House1', mtress_component='ElectricityGridConnection', solph_node='grid_import')","SolphLabel(location='House1', mtress_component='ElectricityGridConnection', solph_node='source_import')","SolphLabel(location='House1', mtress_component='PV', solph_node='connection')","SolphLabel(location='House1', mtress_component='PV', solph_node='connection')","SolphLabel(location='House1', mtress_component='PV', solph_node='source')","SolphLabel(location='House1', mtress_component='demand', solph_node='input')","SolphLabel(location='House1', mtress_component='storage1', solph_node='Battery_Storage')"
,"SolphLabel(location='House1', mtress_component='demand', solph_node='input')","SolphLabel(location='House1', mtress_component='storage1', solph_node='Battery_Storage')","SolphLabel(location='House1', mtress_component='ElectricityGridConnection', solph_node='grid_export')","SolphLabel(location='House1', mtress_component='ElectricityGridConnection', solph_node='sink_export')","SolphLabel(location='House1', mtress_component='ElectricityCarrier', solph_node='distribution')","SolphLabel(location='House1', mtress_component='ElectricityGridConnection', solph_node='grid_import')","SolphLabel(location='House1', mtress_component='ElectricityCarrier', solph_node='distribution')","SolphLabel(location='House1', mtress_component='ElectricityCarrier', solph_node='feed_in')","SolphLabel(location='House1', mtress_component='PV', solph_node='connection')","SolphLabel(location='House1', mtress_component='demand', solph_node='sink')","SolphLabel(location='House1', mtress_component='ElectricityCarrier', solph_node='distribution')"
2023-12-09 19:36:00+01:00,8700.0,0.0,0.0,0.0,8699.99999999997,8699.99999999997,0.0,0.0,0.0,8700.0,0.0
2023-12-09 19:37:00+01:00,8700.0,0.0,0.0,0.0,8700.0,8700.0,0.0,0.0,0.0,8700.0,0.0
2023-12-09 19:38:00+01:00,8700.0,0.0,0.0,0.0,8700.00000000003,8700.00000000003,0.0,0.0,0.0,8700.0,0.0
2023-12-09 19:39:00+01:00,8700.0,0.0,0.0,0.0,8699.99999999997,8699.99999999997,0.0,0.0,0.0,8700.0,0.0
2023-12-09 19:40:00+01:00,8700.0,0.0,0.0,0.0,8700.0,8700.0,0.0,0.0,0.0,8700.0,0.0
2023-12-09 19:41:00+01:00,8700.0,0.0,0.0,0.0,8700.00000000003,8700.00000000003,0.0,0.0,0.0,8700.0,0.0
2023-12-09 19:42:00+01:00,8700.0,0.0,0.0,0.0,8700.00000000003,8700.00000000003,0.0,0.0,0.0,8700.0,0.0
2023-12-09 19:43:00+01:00,8700.0,0.0,0.0,0.0,8700.0,8700.0,0.0,0.0,0.0,8700.0,0.0
2023-12-09 19:44:00+01:00,8700.0,0.0,0.0,0.0,8700.0,8700.0,0.0,0.0,0.0,8700.0,0.0
2023-12-09 19:45:00+01:00,8670.0,0.0,0.0,0.0,8670.0,8670.0,0.0,0.0,0.0,8670.0,0.0
2023-12-09 19:46:00+01:00,8670.0,0.0,0.0,0.0,8670.0,8670.0,0.0,0.0,0.0,8670.0,0.0
2023-12-09 19:47:00+01:00,8670.0,0.0,0.0,0.0,8670.0,8670.0,0.0,0.0,0.0,8670.0,0.0
