Scenario,PV_CO2_g,Battery_CO2_g,Grid_CO2_g,Total_CO2_g
12kWh,650029.0052115718,252118.27059543936,3204306.1081330464,4106453.383940058
15kWh,697144.7709851346,297170.23047036194,3055741.907116933,4050056.90857243
20kWh,759618.595812899,356777.0423877714,2859181.348770237,3975576.9869709075
26kWh,813211.6669020482,407821.37449502177,2690856.586940376,3911889.6283374457
50kWh,917788.6409111652,506129.1593772112,2367199.1613718276,3791116.961660204
5kWh,0.0,0.0,0.0,0.0
8kWh,574612.0029022971,179925.72944208523,3442369.606936369,4196907.3392807515
NoPV,0.0,0.0,0.0,0.0
PV_NoBattery,386934.84417897905,0.0,4035696.11950134,4422630.9636803195
