Scenario,CO2 from Battery Manufacturing (gCO2eq),CO2 from Battery Discharge (gCO2eq),Total Yearly Operational CO2 (gCO2eq)
NoPV,0,0.00,9128603.60
PV_NoBattery,0,0.00,7374482.74
5kWh,27250,75485.69,6730907.06
8kWh,43600,113524.57,6409213.48
12kWh,65400,159074.62,6026219.58
15kWh,81750,187500.26,5789956.81
20kWh,109000,225109.32,5482982.90
26kWh,141700,257315.87,5229470.04
50kWh,272500,319343.40,4809935.57
