Scenario,Total Yearly Grid Import (kWh),Yearly CO2 from PV Manufacturing (gCO2eq),Yearly CO2 from Battery Manufacturing (gCO2eq),Yearly CO2 from Grid Import (gCO2eq),Total Yearly CO2 Emissions (gCO2eq)
PV_NoBattery,14569.30,13647.50,0,6862140.33,6875787.83
5kWh,13144.78,13647.50,27250,6191190.15,6232087.65
8kWh,12425.96,13647.50,43600,5852627.33,5909874.83
12kWh,11566.34,13647.50,65400,5447745.23,5526792.73
15kWh,11031.56,13647.50,81750,5195864.40,5291261.90
20kWh,10321.95,13647.50,109000,4861640.49,4984287.99
26kWh,9714.28,13647.50,141700,4575427.63,4730775.13
50kWh,8545.85,13647.50,272500,4025093.16,4311240.66
