Month,PV_NoBattery,5kWh,8kWh,12kWh,15kWh,20kWh,26kWh,50kWh
Total,3361.45,2982.19,2787.45,2554.90,2407.05,2210.59,2039.53,1704.10
Installation Cost,0.00,6400.00,9600.00,12800.00,16000.00,22400.00,28800.00,51200.00
