Scenario,Battery_Size_kWh,Calculated_Annual_Energy_Cost_EUR,Installation_Cost_EUR,Annual_Grid_Import_kWh,Annual_Grid_Export_kWh,Returns_Per_Year_EUR,Breakeven_With_Setup_Years
PV_NoBattery,No Battery,3361.45,1954.34,14510.51,21465.37,0.00,inf
5kWh,5,2982.19,7943.02,13067.79,19894.23,379.26,20.94
8kWh,8,2787.45,9965.42,12326.66,19085.95,573.99,17.36
12kWh,12,2554.90,12661.96,11441.37,18119.79,806.55,15.70
15kWh,15,2407.05,14684.36,10878.35,17504.63,954.40,15.39
20kWh,20,2210.59,18055.04,10130.12,16686.88,1150.86,15.69
26kWh,26,2039.53,22099.85,9478.20,15972.96,1321.92,16.72
50kWh,50,1704.10,38279.09,8196.05,14556.53,1657.35,23.10
