,total_annual_cost_eur
12kWh,2100.31895925298
15kWh,1984.7877860645622
20kWh,1828.2271250876174
26kWh,1694.2823168545904
50kWh,1433.9471320967878
5kWh,2447.0803087237805
8kWh,2285.073499386046
PV_NoBattery,2785.928864621058
