Scenario,Total Yearly Grid Import (kWh),Yearly CO2 from PV Manufacturing (kgCO2eq),Yearly CO2 from Battery Manufacturing (kgCO2eq),Yearly CO2 from Grid Import (kgCO2eq),Total Yearly CO2 Emissions (kgCO2eq)
PV_NoBattery,15.134,13.648,0.000,7128.191,7141.838
5kWh,14.176,13.648,27.250,6677.096,6717.993
8kWh,13.709,13.648,43.600,6456.990,6514.238
12kWh,13.160,13.648,65.400,6198.412,6277.460
15kWh,12.826,13.648,81.750,6041.238,6136.636
20kWh,12.401,13.648,109.000,5840.863,5963.510
26kWh,12.117,13.648,141.700,5707.296,5862.643
50kWh,12.086,13.648,272.500,5692.344,5978.491
