Scenario,Demand_Consumption,Battery_Charge,Grid_Export_to_Grid,Grid_Export_Sink,Grid_Import,Grid_Import_Source,PV_Direct_Consumption,PV_to_Grid_Feedin,Total_PV_Production,Demand_Sink,Battery_Discharge
NoPV,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PV_NoBattery,19381.49,0.00,18300.04,18300.04,14393.24,14393.24,4988.25,18300.04,23288.29,19381.49,0.00
5kWh,19381.49,1564.36,16735.68,16735.68,12955.65,12955.65,6552.61,16735.68,23288.29,19381.49,1437.60
8kWh,19381.49,2350.42,15949.62,15949.62,12234.40,12234.40,7338.67,15949.62,23288.29,19381.49,2158.85
12kWh,19381.49,3288.55,15011.49,15011.49,11374.55,11374.55,8276.80,15011.49,23288.29,19381.49,3018.70
15kWh,19381.49,3870.55,14429.49,14429.49,10841.77,10841.77,8858.80,14429.49,23288.29,19381.49,3551.48
20kWh,19381.49,4636.99,13663.05,13663.05,10141.18,10141.18,9625.24,13663.05,23288.29,19381.49,4252.07
26kWh,19381.49,5291.14,13008.91,13008.91,9544.71,9544.71,10279.39,13008.91,23288.29,19381.49,4848.54
50kWh,19381.49,6545.81,11756.10,11756.10,8412.84,8412.84,11532.19,11756.10,23288.29,19381.49,5982.28
