Metric,Value
Total Yearly Demand (kWh),1162879.44
Total Yearly PV Production (kWh),288721.44
Total Yearly Grid Import (kWh),874158.00
Total Yearly Battery Discharge (kWh),0.00
Yearly CO2 from PV Production (gCO2eq),6351871.59
Yearly CO2 from Grid Import (gCO2eq),411728419.99
Yearly CO2 from Battery Discharge (gCO2eq),0.00
Total Yearly CO2 Emissions (gCO2eq),418080291.58
