Metric,Value
Total Yearly Demand (kWh),1162879.44
Total Yearly PV Production (kWh),381766.90
Total Yearly Grid Import (kWh),788702.50
Total Yearly Battery Discharge (kWh),85455.50
Yearly CO2 from PV Production (gCO2eq),8398871.84
Yearly CO2 from Grid Import (gCO2eq),371478878.68
Yearly CO2 from Battery Discharge (gCO2eq),7178262.14
Total Yearly CO2 Emissions (gCO2eq),387056012.66
