Month,Total Demand (kWh),PV Production (kWh),Grid Import (kWh),Battery Discharge (kWh),CO2 from PV Production (gCO2eq),CO2 from Grid Import (gCO2eq),CO2 from Battery Discharge (gCO2eq),Total CO2 Emissions (gCO2eq)
jan,126664.50,21930.62,105408.41,7221.90,482473.55,49647361.67,606639.18,50736474.40
feb,119197.98,35081.25,85146.49,11381.77,771787.54,40103995.91,956068.63,41831852.08
mar,110948.26,51673.04,61001.77,19270.78,1136806.79,28731833.76,1618745.33,31487385.88
apr,90470.90,52945.83,39188.92,18653.29,1164808.25,18457979.60,1566876.52,21189664.37
may,87722.09,57850.91,31589.49,19232.38,1272720.06,14878649.92,1615519.98,17766889.96
jun,62451.53,46834.50,17135.58,16930.22,1030358.95,8070856.21,1422138.42,10523353.58
jul,56655.44,44034.23,14349.75,19245.15,968753.08,6758731.35,1616592.66,9344077.09
aug,65733.53,50464.67,17054.92,19884.66,1110222.79,8032867.59,1670311.67,10813402.04
sep,93436.66,47768.63,47385.70,19224.06,1050909.95,22318663.47,1614820.66,24984394.08
oct,98490.83,37179.04,62716.33,15469.02,817938.95,29539391.59,1299397.37,31656727.90
nov,116452.98,26411.97,91089.73,11530.07,581063.38,42903265.02,968525.61,44452854.01
dec,134654.74,12861.25,122006.44,2041.19,282947.50,57465034.29,171460.22,57919442.01
