Month,Total Demand (kWh),PV Production (kWh),Grid Import (kWh),Battery Discharge (kWh),CO2 from PV Production (gCO2eq),CO2 from Grid Import (gCO2eq),CO2 from Battery Discharge (gCO2eq),Total CO2 Emissions (gCO2eq)
jan,126664.50,23431.79,104065.20,8565.11,515499.33,49014707.71,719469.19,50249676.23
feb,119197.98,43581.00,77371.21,19157.05,958781.97,36441839.02,1609192.15,39009813.13
mar,110948.26,68518.70,45586.54,34686.01,1507411.34,21471259.13,2913624.88,25892295.36
apr,90470.90,72648.70,21148.81,36693.40,1598271.46,9961087.50,3082245.81,14641604.77
may,87722.09,72772.85,17950.86,32871.01,1601002.69,8454853.32,2761165.24,12817021.24
jun,62451.53,56124.90,8666.71,25399.08,1234747.71,4082021.71,2133522.91,7450292.33
jul,56655.44,51965.28,7116.33,26478.57,1143236.10,3351790.92,2224199.87,6719226.89
aug,65733.53,61184.66,7272.45,29667.14,1346062.62,3425322.49,2492039.45,7263424.57
sep,93436.66,65481.43,31181.41,35428.35,1440591.42,14686442.88,2975981.02,19103015.32
oct,98490.83,47772.77,53037.08,25148.27,1051000.84,24980463.02,2112454.69,28143918.55
nov,116452.98,30455.59,87417.64,15202.16,670022.95,41173710.73,1276981.15,43120714.83
dec,134654.74,12861.25,122042.80,2004.83,282947.50,57482159.13,168406.11,57933512.74
