Metric,Value
Total Yearly Demand (kWh),1162879.44
Total Yearly PV Production (kWh),684831.72
Total Yearly Grid Import (kWh),512750.72
Total Yearly Battery Discharge (kWh),361520.83
Yearly CO2 from PV Production (gCO2eq),15066297.80
Yearly CO2 from Grid Import (gCO2eq),241505589.53
Yearly CO2 from Battery Discharge (gCO2eq),30367749.56
Total Yearly CO2 Emissions (gCO2eq),286939636.89
