Metric,Value
Total Yearly Demand (kWh),1162879.44
Total Yearly PV Production (kWh),485035.94
Total Yearly Grid Import (kWh),694073.53
Total Yearly Battery Discharge (kWh),180084.48
Yearly CO2 from PV Production (gCO2eq),10670790.78
Yearly CO2 from Grid Import (gCO2eq),326908630.38
Yearly CO2 from Battery Discharge (gCO2eq),15127096.24
Total Yearly CO2 Emissions (gCO2eq),352706517.40
