Metric,Value
Total Yearly Demand (kWh),1162879.44
Total Yearly PV Production (kWh),606798.91
Total Yearly Grid Import (kWh),582857.02
Total Yearly Battery Discharge (kWh),291300.98
Yearly CO2 from PV Production (gCO2eq),13349575.93
Yearly CO2 from Grid Import (gCO2eq),274525657.57
Yearly CO2 from Battery Discharge (gCO2eq),24469282.47
Total Yearly CO2 Emissions (gCO2eq),312344515.97
