Month,Total Demand (kWh),PV Production (kWh),Grid Import (kWh),Battery Discharge (kWh),CO2 from PV Production (gCO2eq),CO2 from Grid Import (gCO2eq),CO2 from Battery Discharge (gCO2eq),Total CO2 Emissions (gCO2eq)
jan,126664.50,18593.22,108448.23,4182.08,409050.87,51079115.65,351294.52,51839461.05
feb,119197.98,29286.12,90451.43,6076.83,644294.69,42602621.91,510453.80,43757370.40
mar,110948.26,40757.78,71010.69,9261.86,896671.06,33446036.00,777995.88,35120702.94
apr,90470.90,41807.15,49409.24,8432.97,919757.37,23271751.52,708369.43,24899878.32
may,87722.09,45762.70,42679.60,8142.27,1006779.37,20102091.44,683950.79,21792821.60
jun,62451.53,36915.27,26231.89,7833.91,812135.94,12355219.98,658048.06,13825403.98
jul,56655.44,32282.25,25123.61,8471.29,710209.49,11833221.97,711587.96,13255019.42
aug,65733.53,38400.12,28114.67,8824.91,844802.60,13242009.36,741292.75,14828104.71
sep,93436.66,35880.12,58291.55,8318.20,789362.71,27455322.04,698728.68,28943413.43
oct,98490.83,28970.14,70226.64,7958.71,637343.15,33076746.66,668531.50,34382621.31
nov,116452.98,20546.45,96456.83,6162.97,452021.92,45431167.95,517689.42,46400879.29
dec,134654.74,12565.58,122258.12,1789.52,276442.65,57583574.21,150319.34,58010336.20
