Metric,Value
Total Yearly Demand (kWh),1162879.44
Total Yearly PV Production (kWh),520192.59
Total Yearly Grid Import (kWh),661893.55
Total Yearly Battery Discharge (kWh),212264.45
Yearly CO2 from PV Production (gCO2eq),11444237.01
Yearly CO2 from Grid Import (gCO2eq),311751863.88
Yearly CO2 from Battery Discharge (gCO2eq),17830213.83
Total Yearly CO2 Emissions (gCO2eq),341026314.72
