Metric,Value
Total Yearly Demand (kWh),1162879.44
Total Yearly PV Production (kWh),566809.05
Total Yearly Grid Import (kWh),619317.26
Total Yearly Battery Discharge (kWh),254840.74
Yearly CO2 from PV Production (gCO2eq),12469799.11
Yearly CO2 from Grid Import (gCO2eq),291698429.30
Yearly CO2 from Battery Discharge (gCO2eq),21406622.54
Total Yearly CO2 Emissions (gCO2eq),325574850.95
