Month,Total Demand (kWh),PV Production (kWh),Grid Import (kWh),Battery Discharge (kWh),CO2 from PV Production (gCO2eq),CO2 from Grid Import (gCO2eq),CO2 from Battery Discharge (gCO2eq),Total CO2 Emissions (gCO2eq)
jan,126664.50,20322.37,106874.03,5756.28,447092.11,50337666.24,483527.54,51268285.88
feb,119197.98,32122.68,87860.77,8667.49,706699.00,41382420.81,728069.28,42817189.09
mar,110948.26,45582.56,66585.50,13687.05,1002816.36,31361769.98,1149712.11,33514298.45
apr,90470.90,46695.46,44922.96,12919.25,1027300.19,21158712.31,1085217.18,23271229.68
may,87722.09,51003.42,37874.04,12947.83,1122075.19,17838672.16,1087617.93,20048365.28
jun,62451.53,41886.59,21670.01,12395.78,921504.89,10206574.74,1041245.94,12169325.57
jul,56655.44,37522.22,20316.49,13278.40,825488.93,9569068.77,1115385.99,11509943.68
aug,65733.53,43710.81,23242.71,13696.87,961637.76,10947318.01,1150537.07,13059492.84
sep,93436.66,41008.89,53588.59,13021.16,902195.48,25240227.55,1093777.38,27236200.41
oct,98490.83,32669.24,66840.03,11345.31,718723.28,31481655.90,953006.28,33153385.46
nov,116452.98,23378.59,93866.35,8753.46,514329.09,44211049.06,735290.24,45460668.38
dec,134654.74,12858.77,121998.15,2049.49,282892.91,57461128.36,172156.82,57916178.09
