Month,Total Demand (kWh),PV Production (kWh),Grid Import (kWh),Battery Discharge (kWh),CO2 from PV Production (gCO2eq),CO2 from Grid Import (gCO2eq),CO2 from Battery Discharge (gCO2eq),Total CO2 Emissions (gCO2eq)
jan,126664.50,23590.41,103997.57,8632.73,518989.09,48982857.76,725149.43,50226996.28
feb,119197.98,51958.59,69765.15,26763.11,1143088.98,32859386.21,2248100.93,36250576.12
mar,110948.26,80871.95,34391.89,45880.66,1779182.95,16198580.77,3853975.16,21831738.88
apr,90470.90,87762.01,7481.93,50360.28,1930764.32,3523987.10,4230263.72,9685015.14
may,87722.09,85033.05,6831.18,43990.69,1870727.08,3217488.07,3695217.64,8783432.79
jun,62451.53,62126.42,3281.47,30784.33,1366781.25,1545571.63,2585883.44,5498236.31
jul,56655.44,56331.92,3278.33,30316.57,1239302.16,1544093.29,2546591.80,5329987.25
aug,65733.53,65758.46,3233.14,33706.44,1446686.04,1522810.42,2831340.97,5800837.43
sep,93436.66,75322.51,22298.09,44311.67,1657095.11,10502398.87,3722179.95,15881673.94
oct,98490.83,52103.94,49160.56,29024.78,1146286.59,23154625.46,2438081.77,26738993.82
nov,116452.98,31111.21,86897.43,15722.37,684446.73,40928690.49,1320679.03,42933816.25
dec,134654.74,12861.25,122133.97,2027.21,282947.50,57525099.46,170285.72,57978332.68
