Month,Total Demand (kWh),PV Production (kWh),Grid Import (kWh),Battery Discharge (kWh),CO2 from PV Production (gCO2eq),CO2 from Grid Import (gCO2eq),CO2 from Battery Discharge (gCO2eq),Total CO2 Emissions (gCO2eq)
jan,126664.50,23093.61,104356.67,8273.64,508059.47,49151990.89,694985.56,50355035.92
feb,119197.98,40132.94,80518.30,16009.95,882924.67,37924121.29,1344836.08,40151882.03
mar,110948.26,62807.28,50800.40,29472.14,1381760.09,23926990.48,2475660.05,27784410.63
apr,90470.90,64836.26,28304.78,29537.43,1426397.61,13331552.72,2481143.74,17239094.07
may,87722.09,67732.85,22559.46,28262.41,1490122.74,10625504.76,2374042.69,14489670.19
jun,62451.53,53134.62,11386.46,22679.33,1168961.69,5363024.13,1905063.88,8437049.70
jul,56655.44,50183.94,8746.98,24847.92,1104046.73,4119826.97,2087225.29,7311098.99
aug,65733.53,57953.77,10215.05,26724.53,1274982.88,4811289.48,2244860.63,8331132.99
sep,93436.66,60229.22,35969.82,30639.93,1325042.77,16941786.46,2573754.14,20840583.37
oct,98490.83,44230.15,56261.55,21923.79,973063.38,26499190.92,1841598.76,29313853.06
nov,116452.98,29613.16,88172.11,14447.69,651489.59,41529063.67,1213606.10,43394159.36
dec,134654.74,12861.25,122025.66,2021.97,282947.50,57474087.53,169845.63,57926880.66
