Metric,Value
Total Yearly Demand (kWh),1162879.44
Total Yearly PV Production (kWh),0.00
Total Yearly Grid Import (kWh),1162879.44
Total Yearly Battery Discharge (kWh),0.00
Yearly CO2 from PV Production (gCO2eq),0.00
Yearly CO2 from Grid Import (gCO2eq),547716216.24
Yearly CO2 from Battery Discharge (gCO2eq),0.00
Total Yearly CO2 Emissions (gCO2eq),547716216.24
