Scenario,Demand_Consumption,Battery_Charge,Grid_Export_to_Grid,Grid_Export_Sink,Grid_Import,Grid_Import_Source,PV_Direct_Consumption,PV_to_Grid_Feedin,Total_PV_Production,Demand_Sink,Battery_Discharge
NoPV,19381.32,0,0,0,19381.32,19381.32,0,0,0,19381.32,0
PV_NoBattery,19381.32,0,18476.27,18476.27,14569.3,14569.3,4812.02,18476.27,23288.29,19381.32,0
5kWh,19381.32,1550.76,16925.51,16925.51,13145.04,13145.04,6362.78,16925.51,23288.29,19381.32,1424.26
8kWh,19381.32,2334,16142.26,16142.26,12427.33,12427.33,7146.03,16142.26,23288.29,19381.32,2141.97
12kWh,19381.32,3271.91,15204.36,15204.36,11567.89,11567.89,8083.93,15204.36,23288.29,19381.32,3001.41
15kWh,19381.32,3857.85,14618.41,14618.41,11031.56,11031.56,8669.88,14618.41,23288.29,19381.32,3537.74
20kWh,19381.32,4634.79,13841.47,13841.47,10321.95,10321.95,9446.82,13841.47,23288.29,19381.32,4247.35
26kWh,19381.32,5301.29,13174.98,13174.98,9714.28,9714.28,10113.32,13174.98,23288.29,19381.32,4855.02
50kWh,19381.32,6603.73,11874.43,11874.43,8545.85,8545.85,11413.86,11874.43,23288.29,19381.32,6025.35
