Scenario,Total Yearly Grid Import (kWh),Yearly CO2 from PV Manufacturing (gCO2eq),Yearly CO2 from Battery Manufacturing (gCO2eq),Yearly CO2 from Grid Import (gCO2eq),Total Yearly CO2 Emissions (gCO2eq)
PV_NoBattery,14334.53,13647.50,0,6751564.83,6765212.33
5kWh,12896.38,13647.50,27250,6074196.35,6115093.85
8kWh,12178.69,13647.50,43600,5736161.72,5793409.22
12kWh,11325.44,13647.50,65400,5334283.17,5413330.67
15kWh,10795.85,13647.50,81750,5084843.73,5180241.23
20kWh,10098.82,13647.50,109000,4756545.03,4879192.53
26kWh,9509.75,13647.50,141700,4479092.29,4634439.79
50kWh,8388.73,13647.50,272500,3951090.05,4237237.55
