Scenario,Total Yearly Grid Import (kWh),Yearly CO2 from PV Manufacturing (kgCO2eq),Yearly CO2 from Battery Manufacturing (kgCO2eq),Yearly CO2 from Grid Import (kgCO2eq),Total Yearly CO2 Emissions (kgCO2eq)
PV_NoBattery,14.335,13.648,0.000,6751.565,6765.212
5kWh,12.896,13.648,27.250,6074.196,6115.094
8kWh,12.179,13.648,43.600,5736.162,5793.409
12kWh,11.325,13.648,65.400,5334.283,5413.331
15kWh,10.796,13.648,81.750,5084.844,5180.241
20kWh,10.099,13.648,109.000,4756.545,4879.193
26kWh,9.510,13.648,141.700,4479.092,4634.440
50kWh,8.389,13.648,272.500,3951.090,4237.238
