Metric,Value
Total Period Demand (kWh),19381.32
Total Period PV Production (kWh),23288.29
Total Period Grid Import (kWh),13145.59
Total Period Grid Export (kWh),16925.52
Total Period Battery Charge (kWh),1550.75
Total Period Battery Discharge (kWh),1423.71
Total Period PV Self-Consumption (kWh),6362.77
Total Period Self-Sufficiency (kWh),17343.65
Overall Self-Consumption Rate (%),27.32
Overall Self-Sufficiency Rate (%),89.49
Total Net Cost (eur),3246.92
