Scenario,Total Yearly Grid Import (kWh),Yearly CO2 from PV Manufacturing (kgCO2eq),Yearly CO2 from Battery Manufacturing (kgCO2eq),Yearly CO2 from Grid Import (kgCO2eq),Total Yearly CO2 Emissions (kgCO2eq)
PV_NoBattery,14.511,15.992,0.000,6834.449,6850.442
5kWh,13.068,15.992,27.250,6154.929,6198.171
8kWh,12.327,15.992,43.600,5805.856,5865.449
12kWh,11.441,15.992,65.400,5388.884,5470.276
15kWh,10.878,15.992,81.750,5123.705,5221.447
20kWh,10.130,15.992,109.000,4771.287,4896.280
26kWh,9.478,15.992,141.700,4464.233,4621.926
50kWh,8.196,15.992,272.500,3860.337,4148.830
