Scenario,CO2 from Battery Manufacturing (gCO2eq),CO2 from Battery Discharge (gCO2eq),Total Yearly Operational CO2 (gCO2eq)
NoBattery,0,0.00,7413845.18
5kWh,27250,76462.39,6761575.00
8kWh,43600,115742.35,6428852.15
12kWh,65400,162662.82,6033679.66
15kWh,81750,192502.45,5784851.08
20kWh,109000,232158.82,5459683.13
26kWh,141700,266710.49,5185329.63
50kWh,272500,334687.02,4712233.33
