Scenario,Total Yearly Grid Import (kWh),Yearly CO2 from PV Manufacturing (gCO2eq),Yearly CO2 from Battery Manufacturing (gCO2eq),Yearly CO2 from Grid Import (gCO2eq),Total Yearly CO2 Emissions (gCO2eq)
PV_NoBattery,14510.51,15992.50,0,6834449.05,6850441.55
5kWh,13067.79,15992.50,27250,6154928.87,6198171.37
8kWh,12326.66,15992.50,43600,5805856.02,5865448.52
12kWh,11441.37,15992.50,65400,5388883.53,5470276.03
15kWh,10878.35,15992.50,81750,5123704.95,5221447.45
20kWh,10130.12,15992.50,109000,4771287.00,4896279.50
26kWh,9478.20,15992.50,141700,4464233.50,4621926.00
50kWh,8196.05,15992.50,272500,3860337.21,4148829.71
