Scenario,Month,Demand_Consumption,Battery_Charge,Grid_Export_to_Grid,Grid_Export_Sink,Grid_Import,Grid_Import_Source,PV_Direct_Consumption,PV_to_Grid_Feedin,Total_PV_Production,Demand_Sink,Battery_Discharge
26kWh,jul,944.26,602.06,2380.09,2380.09,407.61,407.61,587.06,2380.09,2967.15,944.26,551.65
26kWh,aug,1095.56,539.55,1964.32,1964.32,291.74,291.74,849.56,1964.32,2813.88,1095.56,493.81
26kWh,sep,1557.28,659.93,1704.29,1704.29,778.58,778.58,834.03,1704.29,2538.31,1557.28,604.60
26kWh,oct,1641.51,746.19,396.27,396.27,1191.61,1191.61,513.36,396.27,909.63,1641.51,682.73
26kWh,nov,1940.88,750.39,65.28,65.28,1551.27,1551.27,453.24,65.28,518.52,1940.88,686.77
26kWh,dec,2244.25,743.06,48.17,48.17,2141.43,2141.43,166.18,48.17,214.35,2244.25,679.70
50kWh,jan,2111.07,1106.47,64.79,64.79,1879.38,1879.38,328.39,64.79,393.17,2111.07,1009.78
50kWh,feb,1986.63,964.29,47.92,47.92,1205.14,1205.14,865.98,47.92,913.90,1986.63,879.80
50kWh,mar,1849.14,1060.60,423.40,423.40,815.16,815.16,1124.98,423.40,1548.38,1849.14,969.60
50kWh,apr,1507.85,975.28,1629.98,1629.98,464.55,464.55,1127.17,1629.98,2757.16,1507.85,891.40
50kWh,may,1462.03,1319.66,2771.61,2771.61,817.78,817.78,755.35,2771.61,3526.96,1462.03,1208.56
50kWh,jun,1040.86,608.25,3436.37,3436.37,344.69,344.69,750.50,3436.37,4186.87,1040.86,553.91
50kWh,jul,944.26,773.97,2399.36,2399.36,443.69,443.69,567.79,2399.36,2967.15,944.26,706.74
50kWh,aug,1095.56,625.52,1997.10,1997.10,334.51,334.51,816.78,1997.10,2813.88,1095.56,569.79
50kWh,sep,1557.28,865.03,1668.58,1668.58,762.95,762.95,869.73,1668.58,2538.31,1557.28,789.63
50kWh,oct,1641.51,972.17,422.87,422.87,1240.94,1240.94,486.76,422.87,909.63,1641.51,885.99
50kWh,nov,1940.88,1008.09,61.48,61.48,1572.42,1572.42,457.04,61.48,518.52,1940.88,919.52
50kWh,dec,2244.25,1167.00,73.56,73.56,2204.43,2204.43,140.79,73.56,214.35,2244.25,1066.02
