Scenario,Month,Demand_Consumption,Battery_Charge,Grid_Export_to_Grid,Grid_Export_Sink,Grid_Import,Grid_Import_Source,PV_Direct_Consumption,PV_to_Grid_Feedin,Total_PV_Production,Demand_Sink,Battery_Discharge,PV2_Direct_Consumption,PV2_to_Grid_Feedin,Total_PV2_Production
12kWh,nov,1940.88,221.92,120.18,120.18,1501.91,1501.91,411.68,106.84,518.52,1940.88,203.54,45.68,13.34,59.02
12kWh,dec,2244.25,49.30,-0.00,-0.00,2017.29,2017.29,214.35,-0.00,214.35,2244.25,44.87,17.03,-0.00,17.03
15kWh,jan,2111.07,162.97,31.58,31.58,1722.27,1722.27,363.39,29.78,393.17,2111.07,149.25,39.13,1.79,40.93
15kWh,feb,1986.63,259.26,383.73,383.73,1363.94,1363.94,580.43,333.47,913.90,1986.63,237.84,63.69,50.26,113.95
15kWh,mar,1849.14,432.07,797.22,797.22,932.13,932.13,839.65,708.72,1548.38,1849.14,396.49,112.94,88.50,201.44
15kWh,apr,1507.85,418.97,2153.29,2153.29,572.78,572.78,771.29,1985.87,2757.16,1507.85,384.47,198.29,167.43,365.71
15kWh,may,1462.03,425.10,2953.26,2953.26,452.08,452.08,730.86,2796.10,3526.96,1462.03,389.92,314.28,157.17,471.44
15kWh,jun,1040.86,351.64,3920.97,3920.97,242.61,242.61,508.74,3678.14,4186.87,1040.86,322.38,318.78,242.83,561.61
15kWh,jul,944.26,402.42,2572.23,2572.23,189.25,189.25,527.02,2440.13,2967.15,944.26,369.01,261.40,132.10,393.50
15kWh,aug,1095.56,420.26,2283.56,2283.56,227.28,227.28,708.81,2105.07,2813.88,1095.56,385.35,194.38,178.49,372.87
15kWh,sep,1557.28,432.68,1992.75,1992.75,710.00,710.00,689.81,1848.50,2538.31,1557.28,396.93,193.22,144.25,337.47
15kWh,oct,1641.51,349.11,330.85,330.85,978.70,978.70,613.75,295.88,909.63,1641.51,320.23,77.95,34.98,112.92
15kWh,nov,1940.88,256.91,85.19,85.19,1469.92,1469.92,441.62,76.90,518.52,1940.88,235.52,50.73,8.29,59.02
15kWh,dec,2244.25,49.30,-0.00,-0.00,2017.41,2017.41,214.35,-0.00,214.35,2244.25,44.74,17.03,-0.00,17.03
20kWh,jan,2111.07,177.98,16.56,16.56,1708.75,1708.75,377.66,15.52,393.17,2111.07,162.77,39.88,1.05,40.93
20kWh,feb,1986.63,313.27,329.72,329.72,1314.49,1314.49,617.22,296.68,913.90,1986.63,287.29,80.90,33.04,113.95
20kWh,mar,1849.14,554.25,675.04,675.04,820.11,820.11,946.34,602.03,1548.38,1849.14,508.51,128.42,73.01,201.44
20kWh,apr,1507.85,540.99,2031.28,2031.28,460.93,460.93,887.85,1869.31,2757.16,1507.85,496.32,203.74,161.97,365.71
20kWh,may,1462.03,513.08,2865.28,2865.28,371.61,371.61,790.68,2736.28,3526.96,1462.03,470.38,342.45,129.00,471.44
20kWh,jun,1040.86,411.60,3861.01,3861.01,187.49,187.49,640.63,3546.25,4186.87,1040.86,377.50,246.85,314.76,561.61
20kWh,jul,944.26,450.80,2523.85,2523.85,145.12,145.12,560.17,2406.98,2967.15,944.26,413.13,276.63,116.87,393.50
20kWh,aug,1095.56,486.98,2216.84,2216.84,166.26,166.26,794.23,2019.65,2813.88,1095.56,446.36,175.68,197.19,372.87
20kWh,sep,1557.28,555.74,1869.69,1869.69,597.28,597.28,757.37,1780.94,2538.31,1557.28,509.64,248.72,88.75,337.47
20kWh,oct,1641.51,430.79,249.18,249.18,904.02,904.02,688.78,220.85,909.63,1641.51,394.90,84.60,28.32,112.92
20kWh,nov,1940.88,293.68,48.42,48.42,1436.42,1436.42,476.26,42.26,518.52,1940.88,269.02,52.87,6.15,59.02
20kWh,dec,2244.25,49.30,-0.00,-0.00,2017.63,2017.63,214.35,0.00,214.35,2244.25,44.53,17.03,-0.00,17.03
26kWh,jan,2111.07,186.48,8.06,8.06,1701.26,1701.26,385.75,7.42,393.17,2111.07,170.26,40.29,0.64,40.93
26kWh,feb,1986.63,375.29,267.70,267.70,1257.81,1257.81,677.58,236.32,913.90,1986.63,343.97,82.57,31.38,113.95
26kWh,mar,1849.14,669.20,560.09,560.09,715.00,715.00,1049.84,498.54,1548.38,1849.14,613.62,139.88,61.56,201.44
26kWh,apr,1507.85,669.87,1902.40,1902.40,342.98,342.98,1021.94,1735.22,2757.16,1507.85,614.27,198.53,167.18,365.71
26kWh,may,1462.03,596.97,2781.39,2781.39,294.94,294.94,887.54,2639.42,3526.96,1462.03,547.05,329.48,141.96,471.44
26kWh,jun,1040.86,460.55,3812.06,3812.06,142.76,142.76,727.54,3459.34,4186.87,1040.86,422.23,208.89,352.72,561.61
