Scenario,Battery_Size_kWh,Calculated_Annual_Energy_Cost_EUR,Installation_Cost_EUR,Annual_Grid_Import_kWh,Annual_Grid_Export_kWh,Returns_Per_Year_EUR,Breakeven_With_Setup_Years
PV_NoBattery,No Battery,3361.45,0.00,14510.51,21465.37,0.00,inf
5kWh,5,2982.19,5988.68,13067.79,19894.23,379.26,15.79
8kWh,8,2787.45,8011.08,12326.66,19085.95,573.99,13.96
12kWh,12,2554.90,10707.62,11441.37,18119.79,806.55,13.28
15kWh,15,2407.05,12730.02,10878.35,17504.63,954.40,13.34
20kWh,20,2210.59,16100.70,10130.12,16686.88,1150.86,13.99
26kWh,26,2039.53,20145.51,9478.20,15972.96,1321.92,15.24
50kWh,50,1704.10,36324.75,8196.05,14556.53,1657.35,21.92
